state,county,cases,deaths,Population Density (people/mi^2),Diabetes Prevalence 2012* (%),Overall sufficient physical activity  prevalence 2011* (%),Overall obesity prevalence 2011* (%),Heavy Alcohol Consumption* (%) 2012 (Heavy- past 30 days 1drink/day for women 2 for men),Binge Alcohol Consumption* (%)2012 (Binge- past 30 days >4 drinks one occasion >5 for men),Population,LandArea (mi^2),"Male sufficient physical activity  prevalence, 2011* (%)","Female sufficient physical activity  prevalence, 2011* (%)","Male obesity  prevalence, 2011* (%)","Female obesity prevalence, 2011* (%)"
Georgia,Catoosa GA,1262,19,415.4423065,15.42,45.15,38.9,6.2,15.3,"67,580",162.67,44.9,45.4,39,38.8
Georgia,Charlton GA,643,9,17.10322984,18.61,38.05,46.9,6.2,13.4,"13,392",783.01,39.9,36.2,44.3,49.5
Georgia,Chatham GA,8755,172,447.8122292,15.73,56.65,37.4,9.7,18.4,"289,430",646.32,60.2,53.1,33.9,40.9
Georgia,Chattahoochee GA,1697,1,43.42131454,16.65,56.75,37.8,5.4,14.3,"10,907",251.19,60.7,52.8,35.4,40.2
Georgia,Chattooga GA,827,23,78.95340319,17.38,41.45,43,4.8,12.5,"24,789",313.97,43.8,39.1,42.1,43.8
Georgia,Cherokee GA,6359,94,596.2099394,13.66,59.55,32.3,7,15.7,"258,773",434.03,62.3,56.8,34.7,29.9
Georgia,Clarke GA,5271,45,1058.050952,16.86,52.4,36.4,9.5,17.3,"128,331",121.29,51.5,53.3,34.8,38
Georgia,Clay GA,121,3,13.05930602,21.56,42.85,46.8,5.7,11.6,"2,834",217.01,46.3,39.4,40.4,53.1
Georgia,Clayton GA,7289,165,2025.476471,20.57,49.65,41.3,4.8,12,"292,256",144.29,51.6,47.7,37.6,44.9
Georgia,Clinch GA,397,11,8.029214792,18.25,39.7,46.5,5.8,13,"6,618",824.24,41.3,38.1,44.1,48.8
Georgia,Cobb GA,20294,437,2206.248912,14.23,59.55,31.4,7,16,"760,141",344.54,59.9,59.2,33.4,29.4
Georgia,Coffee GA,2130,54,71.80214711,17.85,42.6,42,5.1,11.9,"43,273",602.67,43.3,41.9,39.5,44.5
Georgia,Colquitt GA,1954,37,81.92745109,18.08,45.5,42.1,5.9,13.2,"45,600",556.59,48.5,42.5,39.3,44.9
Georgia,Columbia GA,3925,61,509.1423002,12.97,59.6,31.8,7.7,17.5,"156,714",307.8,63,56.2,31.1,32.5
Georgia,Cook GA,558,14,74.04390328,18.19,42.15,43.6,5.7,12.6,"17,270",233.24,45.6,38.7,39.7,47.5
Georgia,Coweta GA,2707,52,332.9723549,14.76,53.3,35.5,6.2,14.6,"148,509",446.01,53.9,52.7,34.3,36.6
Georgia,Crawford GA,175,5,37.99313894,16.67,46.65,41.1,6.6,15.2,"12,404",326.48,49.3,44,39.1,43
Georgia,Crisp GA,599,19,79.55620355,18.62,43.55,44.1,6.6,14.7,"22,372",281.21,46.4,40.7,38.9,49.2
