county,cases,deaths,Population Density (people/mi^2),Diabetes Prevalence 2012 Both Sexes (%),Overall sufficient physical activity  prevalence 2011* (%),Overall obesity prevalence 2011* (%),Heavy Alcohol Consumption (%) 2012 (Heavy- past 30 days 1drink/day for women 2 for men),Binge Alcohol Consumption (%) 2012  (Binge- past 30 days >4 drinks one occasion >5 for men),,LandArea (mi^2),Population,"Male sufficient physical activity  prevalence, 2011* (%)","Female sufficient physical activity  prevalence, 2011* (%)","Male obesity  prevalence, 2011* (%)","Female obesity prevalence, 2011* (%)"
Scott MO,1026,17,89.84650049,14.98,44.35,41.2,7.9,17.5,,426.06,"38,280",45.6,43.1,41.3,41.0
Shannon MO,162,2,8.133061103,13.84,47.2,41.0,8.6,17.4,,1004.05,"8,166",47.3,47.1,39.5,42.5
Shelby MO,80,1,11.80216937,17.97,54.35,36.6,8.3,18.9,,502.45,"5,930",54.9,53.8,35.7,37.4
St. Charles MO,8796,136,677.3292449,12.95,53.85,36.1,9.6,22.7,,593.54,"402,022",52.7,55.0,36.9,35.3
St. Clair MO,86,0,13.38699338,15.04,51.9,38.8,7.3,16.3,,701.95,"9,397",53.0,50.8,37.6,40.0
Ste. Genevieve MO,242,1,35.15796919,13.73,48.15,40.7,7.6,18.1,,508.96,"17,894",48.3,48.0,39.9,41.5
St. Francois MO,2516,18,148.5644188,15.1,50.2,39.1,11.3,23.5,,452.43,"67,215",51.1,49.3,39.9,38.3
St. Louis MO,25709,835,1898.750979,12.69,54.45,34.9,10.5,23.2,,523.61,"994,205",56.0,52.9,32.9,36.8
St. Louis city MO,7413,217,4543.854875,15.03,48.95,40.7,10.0,22.6,,66.15,"300,576",52.6,45.3,36.3,45.0
Stoddard MO,631,15,35.01248507,14.37,45.8,41.0,7.7,18.5,,828.99,"29,025",47.7,43.9,41.1,40.8
Stone MO,551,6,62.53449457,13.69,50.75,36.7,8.1,18.4,,510.95,"31,952",51.1,50.4,38.1,35.2
Sullivan MO,230,0,9.346411248,15.15,50.9,37.8,8.0,17.9,,651.48,"6,089",52.2,49.6,36.8,38.7
Taney MO,1450,38,85.84102037,14.24,52.15,35.8,7.2,16.1,,651.53,"55,928",54.4,49.9,36.4,35.2
Texas MO,419,2,21.53595686,15.3,49.05,39.9,7.2,14.3,,1179.33,"25,398",49.6,48.5,38.2,41.5
Vernon MO,244,2,24.56427471,14.09,50.45,38.6,7.3,16.9,,837.11,"20,563",52.1,48.8,36.9,40.2
Warren MO,566,1,81.43503289,13.93,48.75,39.6,8.8,20.7,,437.76,"35,649",50.0,47.5,40.8,38.4
Washington MO,522,11,32.43278689,15.77,41.15,45.4,8.7,19.9,,762.5,"24,730",41.6,40.7,43.9,46.8
Wayne MO,247,1,16.62898996,15.31,44.25,42.2,8.4,18.5,,774.13,"12,873",44.2,44.3,41.0,43.4
Webster MO,890,6,66.68238623,14.22,50.4,38.4,6.9,14.8,,593.74,"39,592",50.5,50.3,38.3,38.5
Worth MO,22,0,7.545825992,13.65,51.5,37.7,7.2,16.1,,266.77,"2,013",52.7,50.3,37.9,37.4
Wright MO,473,0,26.76804637,15.24,47.15,42.1,7.0,15.2,,683.24,"18,289",47.9,46.4,40.1,44.0
Beaverhead MT,166,1,1.696411747,11.06,60.15,30.9,13.2,25.4,,5572.35,"9,453",61.0,59.3,30.9,30.8
Big Horn MT,992,26,2.655980793,17.62,51.35,43.3,7.5,20.5,,5014.72,"13,319",51.7,51.0,37.8,48.7
Blaine MT,108,0,1.5760867,15.97,50.2,41.9,10.0,26.8,,4238.98,"6,681",53.0,47.4,38.5,45.2
Broadwater MT,20,0,5.034142089,11.14,58.45,30.2,13.5,24.2,,1238.94,"6,237",58.4,58.5,30.7,29.6
Carbon MT,142,0,5.200605161,10.99,60.6,33.1,15.7,30.0,,2062.26,"10,725",59.7,61.5,34.1,32.1
Carter MT,9,0,0.37390881,12.36,56.5,36.3,9.9,20.8,,3348.41,"1,252",57.2,55.8,36.1,36.5
Cascade MT,967,6,30.00508898,11.63,53.95,34.7,12.3,23.4,,2711.74,"81,366",53.9,54.0,34.8,34.5
Chouteau MT,41,0,1.409761504,12.8,55.7,38.4,11.1,28.4,,3997.13,"5,635",56.8,54.6,37.5,39.2
Custer MT,128,2,3.005770594,12.26,55.4,35.3,8.7,20.9,,3793.37,"11,402",57.3,53.5,36.6,33.9
Daniels MT,12,0,1.184659708,12.04,61.3,30.8,9.1,19.7,,1426.57,"1,690",62.7,59.9,31.3,30.3
Dawson MT,104,1,3.614002845,11.8,55.8,35.7,9.9,22.8,,2383.23,"8,613",56.8,54.8,33.9,37.4
Deer Lodge MT,210,0,12.33019008,11.41,55.45,33.2,16.2,31.0,,741.27,"9,140",56.0,54.9,33.0,33.4
Fallon MT,24,0,1.753477998,11.91,54.75,35.6,8.3,24.0,,1623.06,"2,846",55.2,54.3,35.5,35.6
Fergus MT,83,1,2.5399321,11.19,56.45,33.3,11.4,25.2,,4350.51,"11,050",57.2,55.7,33.9,32.7
Flathead MT,1681,19,19.74774569,10.61,63.45,28.8,12.1,22.8,,5256.6,"103,806",65.8,61.1,28.6,29.0
Gallatin MT,1809,4,45.18207626,9.79,66.15,24.0,11.8,23.1,,2532.73,"114,434",66.5,65.8,26.1,21.9
Garfield MT,18,0,0.259506649,12.37,55.1,37.2,14.2,28.3,,4847.66,"1,258",54.4,55.8,37.5,36.8
Glacier MT,601,1,4.528303129,17.67,49.3,42.0,9.0,24.6,,3037.12,"13,753",51.1,47.5,37.2,46.8
Golden Valley MT,5,0,0.697880009,12.14,53.7,36.7,17.2,30.1,,1176.42,821,53.8,53.6,36.1,37.3
Granite MT,32,0,1.94960679,10.89,62.7,31.6,17.7,27.9,,1733.17,"3,379",62.6,62.8,32.2,30.9
Hill MT,287,5,5.652813547,13.31,51,40.0,10.3,26.1,,2916.07,"16,484",53.5,48.5,39.6,40.4
Jefferson MT,98,0,7.366974302,9.98,60.25,28.7,15.4,25.3,,1658.89,"12,221",60.5,60.0,29.6,27.7
Judith Basin MT,9,0,1.072831752,11.26,59.8,34.8,17.0,31.9,,1870.75,"2,007",59.7,59.9,35.1,34.5
Lake MT,328,1,18.4175359,12.87,60.3,33.5,10.5,23.8,,1653.75,"30,458",59.8,60.8,32.7,34.3
Lewis and Clark,398,3,19.85115635,10.17,63.05,30.0,11.3,22.5,,3497.63,"69,432",65.9,60.2,29.7,30.2
Liberty MT,23,0,1.614864771,12.1,42.7,40.6,15.1,30.0,,1447.18,"2,337",44.4,41.0,40.0,41.1
Lincoln MT,170,3,5.436409249,12.16,59.65,32.8,12.3,24.5,,3675.22,"19,980",59.8,59.5,31.9,33.6
Madison MT,120,1,2.38694618,10.76,60.05,28.6,17.9,30.8,,3602.93,"8,600",60.7,59.4,29.3,27.8
McCone MT,27,0,0.620238255,12.48,59.05,34.6,7.2,21.7,,2682.84,"1,664",59.0,59.1,34.4,34.8
Meagher MT,39,2,0.777495229,11.53,56.35,34.4,17.9,31.5,,2394.87,"1,862",56.2,56.5,34.3,34.4
Mineral MT,7,0,3.593993935,12.57,56.8,34.6,18.1,32.9,,1223.43,"4,397",56.9,56.7,33.3,35.9
Missoula MT,1244,4,45.67692361,9.79,65.3,27.5,11.8,24.0,,2618.39,"119,600",67.0,63.6,26.0,28.9
Musselshell MT,37,1,2.476295338,12.29,54.8,35.3,12.4,24.8,,1870.94,"4,633",55.5,54.1,35.5,35.0
Park MT,132,0,6.227102106,10.53,65.3,28.2,16.3,27.3,,2666.73,"16,606",65.6,65.0,29.9,26.5
Petroleum MT,1,0,0.290911263,12.27,58.6,35.6,19.0,32.6,,1674.05,487,58.7,58.5,35.9,35.3
Phillips MT,125,0,0.758601901,12.79,56.45,35.0,13.8,32.4,,5212.22,"3,954",56.4,56.5,34.3,35.6
Pondera MT,94,1,3.604641945,12.7,56.15,38.3,8.7,20.6,,1639.83,"5,911",56.7,55.6,37.4,39.1
Powder River MT,27,0,0.510002971,11.89,57.8,37.1,13.3,26.6,,3298.02,"1,682",59.4,56.2,37.9,36.3
Powell MT,15,0,2.953646188,11.2,60.75,32.2,15.4,27.6,,2332.71,"6,890",61.5,60.0,31.8,32.5
Prairie MT,23,0,0.61803846,12.37,52.75,37.0,12.3,25.8,,1742.61,"1,077",53.2,52.3,36.7,37.3
Ravalli MT,195,2,18.24953445,10.94,67.05,27.7,10.7,20.6,,2400.39,"43,806",68.6,65.5,29.1,26.3
Richland MT,141,2,5.136751812,11.94,53.2,36.5,9.2,23.4,,2103.08,"10,803",54.1,52.3,35.7,37.2
Roosevelt MT,503,8,4.643625775,18.37,51.5,41.0,7.3,23.6,,2369.7,"11,004",53.9,49.1,37.0,44.9
Rosebud MT,695,19,1.777814027,14.26,55.5,40.9,10.3,22.7,,5026.96,"8,937",56.6,54.4,39.5,42.3
Sanders,70,1,4.341296977,12.43,60.2,32.6,12.8,24.1,,2790.18,"12,113",59.8,60.6,30.9,34.2
Sheridan,27,0,1.939192911,12.1,56.4,35.2,6.3,21.3,,1706.38,"3,309",57.8,55.0,35.7,34.6
Silver Bow,329,0,48.56117609,12,56.95,31.4,13.2,26.5,,718.99,"34,915",59.4,54.5,30.5,32.2
Stillwater,99,3,5.342686637,11.37,61.6,32.4,14.1,25.6,,1804.71,"9,642",61.0,62.2,33.3,31.5
Sweet Grass,52,2,2.00687396,11.15,61.05,32.3,10.7,23.2,,1862.1,"3,737",60.8,61.3,33.5,31.0
Teton,48,0,2.681270365,11.41,57.85,35.0,10.2,25.0,,2292.57,"6,147",56.9,58.8,34.9,35.0
Toole,169,6,2.433935307,12.05,54.95,36.6,14.2,33.2,,1945.82,"4,736",56.9,53.0,36.5,36.7
Treasure,8,0,0.707216453,11.6,56.25,30.6,13.4,27.0,,984.14,696,57.0,55.5,30.5,30.7
Valley MT,133,1,1.461059485,12.63,55.95,34.3,11.0,28.1,,5062.08,"7,396",55.7,56.2,34.4,34.1
Wheatland,22,1,1.488409866,12.57,52.2,36.3,11.0,26.6,,1428.37,"2,126",51.7,52.7,36.6,36.0
Wibaux,24,0,1.088617265,12.52,51.3,38.2,7.7,18.2,,890.12,969,51.8,50.8,37.1,39.2
Yellowstone MT,3895,70,60.88837383,11.46,54.2,34.1,10.4,23.2,,2649.11,"161,300",53.7,54.7,33.5,34.7
Adams NE,625,12,55.58942909,11.76,54.6,36.1,9.7,22.5,,564.19,"31,363",54.0,55.2,37.0,35.2
Antelope NE,113,1,7.336136705,11.56,57.45,35.5,10.4,23.2,,858.49,"6,298",57.3,57.6,35.4,35.5
Arthur NE,1,0,0.644523637,11.62,60.4,34.7,7.6,21.1,,718.36,463,60.6,60.2,35.3,34.0
Banner NE,2,0,0.998084214,12.43,56.7,36.9,8.4,18.5,,746.43,745,56.3,57.1,37.4,36.3
Blaine,1,0,0.650904968,12.28,61.05,34.7,7.6,17.3,,714.39,465,61.6,60.5,34.9,34.5
Boone NE,109,0,7.554197585,11.11,57.6,34.4,11.1,26.3,,687.3,"5,192",57.6,57.6,34.2,34.6
Box Butte,120,1,10.00352531,13.11,55.55,37.6,8.4,20.9,,1077.92,"10,783",56.3,54.8,38.0,37.1
Boyd NE,36,0,3.52342832,11.3,56.3,34.2,10.0,22.7,,544.64,"1,919",56.3,56.3,34.4,33.9
Brown NE,58,0,2.411949557,11.89,56.8,35.1,9.0,21.4,,1225.15,"2,955",56.8,56.8,35.4,34.7
Buffalo NE,1278,6,50.91611898,10.9,52.85,36.0,9.7,23.5,,975.31,"49,659",49.8,55.9,36.4,35.5
Burt NE,92,1,12.99283875,12.26,54.65,34.9,10.2,24.3,,497.12,"6,459",56.3,53.0,35.5,34.2
Butler NE,157,1,13.71592834,11.72,54.8,37.7,14.3,31.8,,584.43,"8,016",55.9,53.7,38.3,37.0
Cass NE,385,3,46.35244671,11.79,50.65,36.8,11.1,24.4,,566.27,"26,248",47.6,53.7,38.0,35.5
Cedar NE,107,0,11.26484863,11.74,56.4,35.2,11.9,26.6,,745.86,"8,402",56.5,56.3,36.6,33.8
Chase NE,58,0,4.371316854,12.12,57.95,34.8,8.4,17.8,,897.67,"3,924",58.4,57.5,35.3,34.3
Cherry NE,54,4,0.946609494,11.9,57.15,34.5,9.6,21.0,,6009.87,"5,689",57.9,56.4,34.5,34.5
Cheyenne NE,49,0,7.446408424,11.7,59.75,33.9,9.1,22.8,,1196.55,"8,910",59.8,59.7,34.2,33.5
Clay NE,95,0,10.81491038,12.03,55.7,36.5,9.0,21.6,,573.56,"6,203",56.5,54.9,37.2,35.8
Colfax NE,804,5,25.58228423,13.83,46.6,40.5,9.6,23.8,,418.61,"10,709",47.3,45.9,39.5,41.5
Cuming NE,200,1,15.3955933,12.05,54.55,36.1,10.3,24.4,,574.58,"8,846",55.4,53.7,36.7,35.5
Custer NE,126,4,4.183276984,11.44,57.05,36.4,8.8,21.0,,2576.21,"10,777",58.7,55.4,36.8,35.9
Dakota NE,2358,44,74.88874762,15.08,44.65,42.1,9.1,24.8,,267.41,"20,026",44.0,45.3,42.3,41.9
Dawes NE,147,0,6.131058605,11.81,57,36.0,9.2,20.5,,1400.9,"8,589",57.7,56.3,35.6,36.3
Dawson NE,1117,14,23.14733063,13.92,48.1,40.9,7.8,19.0,,1019.34,"23,595",50.5,45.7,41.2,40.5
Deuel NE,4,0,4.069595989,11.83,57,32.4,7.9,19.2,,440.83,"1,794",57.0,57.0,32.7,32.0
Dixon NE,128,2,11.67477991,12.51,52.65,37.3,9.6,24.4,,482.75,"5,636",53.0,52.3,38.0,36.6
Dodge NE,1331,13,67.21754476,12.64,51.45,37.3,8.8,23.5,,543.98,"36,565",50.0,52.9,37.5,37.0
Douglas NE,17750,198,1682.105108,12.97,51.3,36.1,10.7,24.2,,339.65,"571,327",52.4,50.2,35.0,37.1
Dundy NE,15,1,1.838538726,12.02,58.85,30.7,9.8,21.4,,920.84,"1,693",58.8,58.9,31.2,30.1
Fillmore NE,61,1,9.471785801,11.66,57.5,36.0,11.3,27.4,,576.66,"5,462",57.9,57.1,36.4,35.5
Franklin NE,50,0,5.170708,11.85,56.85,34.5,9.6,24.2,,576.13,"2,979",57.5,56.2,34.9,34.1
Frontier NE,13,0,2.680311394,12,58.65,36.5,8.3,20.2,,980.11,"2,627",60.1,57.2,37.1,35.9
Furnas NE,56,2,6.489667328,12.09,54.05,36.6,8.5,22.0,,720.53,"4,676",54.0,54.1,36.8,36.3
Gage NE,314,5,25.01540716,12.44,50.45,39.7,8.7,23.1,,859.99,"21,513",48.7,52.2,39.5,39.9
Garden NE,13,0,1.061144326,12.31,57.1,34.4,8.2,19.6,,1731.15,"1,837",57.3,56.9,34.5,34.2
Garfield NE,11,0,3.44616354,11.98,57.2,34.0,11.6,27.3,,571.36,"1,969",57.2,57.2,34.4,33.6
Gosper NE,48,0,4.30019232,11.66,60.15,35.2,7.1,16.3,,462.77,"1,990",60.4,59.9,36.1,34.2
Grant NE,2,0,0.795383457,11.86,59,35.2,8.3,19.0,,783.27,623,59.2,58.8,35.8,34.6
Greeley NE,37,0,4.127974209,12.01,57.85,35.9,13.9,30.6,,570.74,"2,356",58.0,57.7,36.1,35.7
Hall NE,2142,48,111.0964237,13.24,48.4,39.5,9.0,21.9,,552.25,"61,353",48.1,48.7,38.0,40.9
Hamilton NE,167,13,17.05318604,10.91,56.8,36.0,9.4,23.5,,546.76,"9,324",58.3,55.3,37.1,34.9
Harlan NE,31,0,5.886450714,12.11,56.7,35.0,9.8,22.1,,574.2,"3,380",56.8,56.6,35.6,34.4
Hayes NE,2,0,1.29245693,11.99,55.65,37.8,11.6,24.9,,713.37,922,57.4,53.9,37.8,37.8
Hitchcock NE,14,0,3.843477777,12.21,56.4,36.6,8.3,18.3,,718.62,"2,762",56.4,56.4,36.7,36.4
Holt NE,139,1,4.163702539,11.51,56.7,34.4,10.5,24.4,,2417.8,"10,067",57.1,56.3,34.7,34.0
Hooker NE,13,1,0.945200543,10.34,59.5,33.8,8.2,19.5,,721.54,682,59.8,59.2,34.3,33.3
Howard NE,115,5,11.19370582,11.66,55.45,36.9,10.8,23.9,,575.77,"6,445",56.4,54.5,37.3,36.5
Jefferson NE,37,0,12.24262853,12.51,52.7,38.0,9.4,23.9,,575.53,"7,046",53.6,51.8,38.0,38.0
Johnson NE,74,0,13.45663942,13.62,52.6,39.3,10.0,19.5,,376.84,"5,071",53.3,51.9,38.8,39.7
Kearney NE,170,0,12.58355129,11.41,57.1,35.6,8.4,21.5,,516.15,"6,495",58.5,55.7,36.8,34.4
Keith NE,70,0,7.238816056,11.95,55.35,36.4,9.6,22.9,,1109.85,"8,034",57.4,53.3,36.6,36.2
Keya Paha NE,5,0,1.041061211,12.37,57.7,36.5,7.9,16.9,,774.21,806,58.1,57.3,36.1,36.8
Kimball NE,25,0,3.813603814,12.43,57.1,32.8,8.1,19.1,,952.38,"3,632",56.8,57.4,32.1,33.5
Knox NE,209,0,7.310375082,12.14,54.5,36.1,11.9,27.3,,1139.75,"8,332",54.7,54.3,36.1,36.1
Lancaster NE,7177,30,376.8497632,11.72,54.95,34.2,9.7,23.3,,846.73,"319,090",56.1,53.8,33.3,35.0
Lincoln NE,512,4,13.5574134,12.23,53.5,39.7,8.9,21.4,,2575.27,"34,914",55.8,51.2,39.2,40.1
Logan NE,7,0,1.309569663,11.63,60.3,35.9,12.2,23.8,,571.18,748,62.5,58.1,36.3,35.5
Loup NE,3,0,1.162749974,12.11,58.1,36.0,9.7,20.7,,571.06,664,58.4,57.8,36.0,36.0
Madison NE,993,7,61.03218627,11.58,54.2,36.3,10.1,25.4,,575.09,"35,099",55.5,52.9,34.7,37.8
McPherson NE,7,0,0.574378532,11.42,56.9,37.3,8.5,18.4,,860.06,494,58.6,55.2,37.5,37.0
Merrick NE,99,1,15.68599689,11.66,54.85,36.9,9.6,24.3,,494.39,"7,755",55.8,53.9,36.9,36.8
Morrill,79,0,3.246335459,13.07,53.55,37.7,7.9,17.8,,1429.92,"4,642",53.6,53.5,37.8,37.6
Nance,63,0,7.853508302,12.13,54.75,36.5,16.1,35.2,,448.08,"3,519",54.8,54.7,36.3,36.6
Nemaha,142,0,16.92602753,12.3,56.6,36.2,9.8,23.3,,411.91,"6,972",57.5,55.7,36.6,35.8
Nuckolls,19,0,7.201388889,11.99,57.45,33.4,10.9,24.7,,576,"4,148",57.6,57.3,33.9,32.9
Otoe,201,1,25.86251454,12.61,54.1,40.1,10.3,24.7,,619.12,"16,012",53.8,54.4,39.6,40.5
Pawnee,21,0,6.035060166,12.71,55.3,34.8,12.4,28.6,,432.97,"2,613",55.3,55.3,35.3,34.3
Perkins,34,10,3.26914161,11.29,58.4,34.9,8.6,19.9,,884.33,"2,891",60.0,56.8,35.2,34.6
Phelps,161,0,16.71044356,11.25,58.15,34.9,8.2,20.1,,540.62,"9,034",59.0,57.3,35.9,33.9
Pierce,116,8,12.42460586,11.12,57.1,32.6,9.8,23.1,,575.31,"7,148",57.1,57.1,32.9,32.3
Platte,1211,4,48.5684849,11.68,55.3,36.5,10.5,28.1,,689.13,"33,470",53.5,57.1,35.4,37.5
Polk,107,1,11.8173781,11.38,57.45,35.4,10.4,25.4,,441.13,"5,213",58.1,56.8,36.1,34.7
Red Willow,88,0,14.93385322,11.89,57.3,34.1,9.5,21.8,,718.1,"10,724",57.7,56.9,34.9,33.2
Richardson,68,2,14.14619231,13.3,56.8,35.5,9.4,21.2,,555.98,"7,865",57.6,56.0,35.8,35.2
Rock,47,1,1.341028352,11.9,58,33.5,9.3,21.6,,1011.91,"1,357",58.0,58.0,33.6,33.4
Saline,782,2,24.69101514,13.03,49.05,39.7,10.9,24.3,,576.08,"14,224",49.4,48.7,38.0,41.3
Sarpy,4190,32,756.9897691,12.77,53.3,36.1,10.1,22.1,,247.29,"187,196",53.5,53.1,37.9,34.2
Saunders,544,4,28.432884,11.67,52.35,37.6,11.7,26.9,,758.91,"21,578",53.4,51.3,38.9,36.3
Scotts Bluff,455,8,47.77284494,13.65,52.15,39.9,6.6,17.2,,745.57,"35,618",51.4,52.9,40.9,38.8
Seward,261,3,30.02049536,10.92,55.55,35.7,8.9,21.6,,575.74,"17,284",55.1,56.0,37.5,33.9
Sheridan NE,65,0,2.12378346,12.46,56.65,34.4,10.6,22.0,,2470.12,"5,246",57.0,56.3,34.0,34.8
Sherman NE,30,2,5.249623902,12.2,54.1,36.7,11.1,23.6,,571.66,"3,001",54.5,53.7,37.1,36.3
Sioux,7,0,0.563985238,11.65,59.3,34.3,9.9,22.8,,2067.43,"1,166",59.1,59.5,34.8,33.7
Stanton,48,0,13.7329498,11.52,57.6,35.9,9.7,22.8,,431.08,"5,920",57.9,57.3,35.9,35.8
Thayer,36,0,8.695425473,11.8,53.95,36.3,7.6,19.4,,575.36,"5,003",54.1,53.8,36.1,36.4
Thomas NE,7,0,1.011643711,11.75,58.8,35.4,8.3,18.9,,713.69,722,59.0,58.6,35.5,35.2
Thurston,288,4,18.2299947,16.78,50.35,42.6,13.4,21.0,,396.27,"7,224",52.5,48.2,38.4,46.7
Valley NE,50,0,7.28783258,11.38,57.6,33.2,11.0,25.5,,570.54,"4,158",57.7,57.5,33.6,32.7
Washington NE,334,5,52.63973184,11.37,57.25,36.7,12.1,25.5,,393.79,"20,729",56.4,58.1,38.1,35.3
Wayne NE,211,0,21.16026335,10.98,57.6,35.2,9.5,24.3,,443.52,"9,385",57.9,57.3,35.4,35.0
Webster NE,21,0,6.063925988,12.02,56.35,36.2,8.8,20.6,,575.04,"3,487",56.9,55.8,36.8,35.6
Wheeler NE,2,0,1.360296034,11.87,60.9,34.6,10.2,22.0,,575.61,783,60.9,60.9,35.0,34.1
York NE,245,2,23.74661482,11.43,53.55,39.3,7.9,21.4,,576.04,"13,679",51.9,55.2,39.7,38.8
Carson City NV,585,8,358.7808791,12.43,61.85,30.7,11.4,22.1,,155.85,"55,916",64.8,58.9,32.4,29.0
Churchill,167,4,4.958347019,13.2,55.1,36.6,10.2,19.9,,5023.65,"24,909",57.3,52.9,35.5,37.6
Clark NV,70121,1431,280.1509075,14.62,51.2,32.8,8.4,17.2,,8091.05,"2,266,715",53.6,48.8,33.2,32.4
Douglas NV,339,1,66.29658248,11.28,64.25,29.1,13.0,20.9,,737.67,"48,905",65.5,63.0,30.8,27.3
Elko,1043,10,3.067767803,13.89,55.7,38.6,10.4,20.5,,17204.04,"52,778",56.2,55.2,37.2,40.0
Eureka,10,0,0.485377669,12.5,57.85,34.8,10.8,18.9,,4180.25,"2,029",59.6,56.1,34.7,34.8
Humboldt,133,4,1.74262457,13.44,55.4,37.4,10.9,20.2,,9658.42,"16,831",58.1,52.7,37.5,37.3
Lander,87,1,1.002239276,13.51,50.35,41.0,10.3,19.6,,5519.64,"5,532",52.0,48.7,40.4,41.5
Lincoln NV,8,0,0.487241291,12.15,52.8,34.9,8.4,16.2,,10637.44,"5,183",53.5,52.1,35.4,34.3
Lyon NV,477,8,28.51985381,13.19,55.75,38.2,12.0,20.4,,2016.49,"57,510",56.1,55.4,37.7,38.7
Mineral NV,14,0,1.181431722,13.99,54.2,38.9,10.5,20.4,,3813.17,"4,505",55.8,52.6,37.7,40.1
Nye,538,15,2.561880118,13.55,52.3,39.2,11.8,21.1,,18159.71,"46,523",56.0,48.6,39.3,39.1
Pershing,22,0,1.108292998,13.68,54.25,37.3,11.0,20.1,,6067.89,"6,725",56.7,51.8,36.2,38.4
Storey,15,0,15.62867215,11.55,61.3,32.5,18.6,27.4,,263.81,"4,123",62.0,60.6,34.1,30.8
Washoe NV,10335,167,71.97137135,12.06,63.4,29.2,11.6,21.0,,6551.48,"471,519",66.1,60.7,30.0,28.4
White Pine,77,1,1.076746876,13.3,54.55,36.2,9.4,19.7,,8897.17,"9,580",56.3,52.8,35.6,36.7
Belknap NH,166,4,130.8243881,11.82,63.5,34.5,10.5,20.5,,468.59,"61,303",68.1,58.9,32.6,36.4
Carroll NH,130,2,49.28853596,11.28,64.15,30.1,11.5,20.6,,992.32,"48,910",66.3,62.0,29.3,30.9
Cheshire NH,155,3,104.3389421,11.77,64.5,33.1,11.0,20.4,,729.21,"76,085",65.8,63.2,31.5,34.7
Coos NH,22,0,17.2313454,12.57,57.2,37.2,10.9,22.3,,1831.72,"31,563",57.7,56.7,35.7,38.6
Grafton NH,157,1,51.35462492,10.56,65.8,30.5,11.4,20.2,,1750.3,"89,886",69.1,62.5,29.4,31.5
Hillsborough NH,4775,296,467.370108,12.52,56.2,33.8,8.6,18.7,,892.28,"417,025",56.9,55.5,34.6,32.9
Merrimack,630,24,158.2660784,11.58,59.7,33.0,10.1,19.0,,956.56,"151,391",61.4,58.0,33.0,32.9
Rockingham,2175,104,390.1176263,11.72,60.05,31.7,10.6,22.4,,794.04,"309,769",60.6,59.5,34.4,29.0
Strafford NH,603,13,340.2344055,13.27,56.6,35.6,9.6,19.9,,383.95,"130,633",61.6,51.6,34.1,37.1
Sullivan NH,63,1,78.16587558,11.56,60.05,34.5,9.4,19.0,,551.98,"43,146",59.3,60.8,34.9,34.1
Atlantic NJ,4368,260,392.6757711,15,56.8,35.5,7.3,19.1,,671.47,"263,670",60.1,53.5,35.7,35.2
Bergen NJ,23201,2050,3776.849526,11.4,55.95,27.0,7.1,19.1,,246.82,"932,202",56.5,55.4,27.9,26.1
Burlington NJ,7483,503,543.4531654,12.95,57.7,34.6,7.4,18.6,,819.48,"445,349",59.8,55.6,36.8,32.4
Camden NJ,10339,616,2225.365789,14.22,50.25,35.8,7.3,18.4,,227.59,"506,471",53.2,47.3,35.0,36.6
Cape May NJ,1072,98,148.3805962,13.03,59.05,35.6,9.4,22.0,,620.29,"92,039",62.1,56.0,36.3,34.8
Cumberland NJ,3846,160,221.0074346,17.59,49.45,41.5,6.0,16.0,,676.57,"149,527",52.9,46.0,41.2,41.7
Essex NJ,21768,2128,6165.406281,15.61,49.75,34.9,7.5,18.4,,129.59,"798,975",53.6,45.9,31.3,38.4
Gloucester NJ,4884,233,865.388724,13.9,54.2,36.3,7.1,18.5,,337,"291,636",54.2,54.2,36.8,35.7
Hudson NJ,21201,1518,10799.72695,16.59,47.85,33.4,6.4,19.9,,62.26,"672,391",48.7,47.0,30.8,35.9
Hunterdon NJ,1485,126,284.049332,10.14,63.25,26.4,9.3,20.7,,437.85,"124,371",65.8,60.7,27.7,25.1
Mercer NJ,8808,636,1605.409184,13.27,55.7,32.7,7.1,17.9,,228.87,"367,430",56.4,55.0,32.1,33.2
Middlesex NJ,20336,1430,2557.142414,13.63,53.1,30.1,5.9,17.2,,322.65,"825,062",55.4,50.8,30.7,29.5
Monmouth NJ,12680,867,930.0432861,11.58,58.9,30.7,9.2,22.6,,665.34,"618,795",61.1,56.7,33.2,28.2
Morris NJ,8205,831,1021.782034,10.75,60.65,27.6,8.0,20.5,,481.36,"491,845",65.3,56.0,29.4,25.7
Ocean NJ,14880,1052,662.9391855,12.89,55.75,35.6,8.1,20.6,,915.9,"607,186",56.5,55.0,38.3,32.8
Passaic,19559,1256,2546.435277,15.61,50.85,34.3,7.2,19.7,,197.07,"501,826",53.8,47.9,33.8,34.7
Salem NJ,1115,88,167.4585279,14.68,50.45,41.2,7.4,18.5,,372.54,"62,385",51.8,49.1,42.2,40.2
Somerset NJ,6041,581,1078.22467,11.55,57.2,27.8,6.5,17.1,,305.07,"328,934",60.1,54.3,29.1,26.4
Sussex NJ,1595,197,262.1240391,11.86,56.45,32.8,9.0,20.6,,535.96,"140,488",57.0,55.9,35.2,30.4
Union NJ,18228,1360,5275.37455,14.59,49.45,32.5,5.9,17.7,,105.46,"556,341",51.2,47.7,30.5,34.4
Warren NJ,1484,171,290.1675947,12.27,56.3,34.8,8.0,19.4,,362.78,"105,267",58.8,53.8,36.3,33.2
