county,cases,deaths,Population Density (people/mi^2),Diabetes Prevalence 2012 Both Sexes (%),Overall sufficient physical activity  prevalence 2011* (%),Overall obesity prevalence 2011* (%),Heavy Alcohol Consumption (%) 2012 (Heavy- past 30 days 1drink/day for women 2 for men),Binge Alcohol Consumption (%) 2012  (Binge- past 30 days >4 drinks one occasion >5 for men),,LandArea (mi^2),Population,"Male sufficient physical activity  prevalence, 2011* (%)","Female sufficient physical activity  prevalence, 2011* (%)","Male obesity  prevalence, 2011* (%)","Female obesity prevalence, 2011* (%)"
Fayette AL,490,10,25.90168102,16.35,41.1,43.2,4.6,10.3,,629.38,"16,302",44.6,37.6,42.4,43.9
Franklin AL,1871,30,48.50668935,16.23,42.15,38.8,4.1,9.5,,646.55,"31,362",45.4,38.9,38.4,39.1
Geneva AL,765,6,45.37619179,15.88,44.7,42.3,6.4,12.0,,578.96,"26,271",44.6,44.8,41.4,43.2
Greene AL,313,15,12.28958015,23.70,37.7,50.9,6.7,12.2,,659.99,"8,111",42.8,32.6,43.8,58.0
Hale AL,682,28,22.31615183,20.44,37.3,49.5,6.3,12.0,,656.52,"14,651",41.2,33.4,43.5,55.5
Henry AL,579,5,30.27024174,16.77,46.55,44.1,6.6,12.2,,568.38,"17,205",50.3,42.8,40.8,47.4
Houston AL,3428,25,182.0185316,15.61,46.3,40.4,6.3,14.1,,581.71,"105,882",47.8,44.8,39.5,41.2
Jackson AL,1745,12,45.81565822,15.30,41.7,38.8,4.8,10.4,,1126.82,"51,626",43.7,39.7,37.8,39.8
Jefferson AL,20965,359,585.9868134,16.10,45.85,38.7,7.1,14.6,,1123.87,"658,573",49.8,41.9,33.5,43.8
Lamar AL,404,3,22.79896286,16.31,42.2,39.3,3.9,8.7,,605.51,"13,805",46.4,38.0,40.3,38.3
Lauderdale AL,1880,37,128.9981081,15.19,44.9,36.9,5.3,11.1,,718.84,"92,729",47.1,42.7,34.9,38.8
Lawrence AL,689,26,45.84685224,17.25,43.25,43.4,3.8,8.6,,718.13,"32,924",45.4,41.1,40.6,46.1
Lee AL,6243,64,267.2828577,15.98,53.6,37.9,8.3,15.4,,615.61,"164,542",57.9,49.3,36.3,39.5
